   Compiling fold v0.1.0 (/Users/michaelrauh/dev/fold)
    Finished `release` profile [optimized] target(s) in 2.68s
     Running `target/release/fold`
[fold] Starting fold processing
[fold] Input directory: ./fold_state/input
[fold] Starting fresh
[memory_config] Total system RAM: 16384 MB
[memory_config] Target memory usage: 12288 MB (75%)
[memory_config] Interner size: 0 MB
[memory_config] Runtime reserve: 2457 MB
[memory_config] Available for caches: 9830 MB

[memory_config] ===== MEMORY CONFIGURATION =====
[memory_config] Queue buffer size: 100000 orthos (~19 MB per queue)
[memory_config] Bloom capacity: 1000000 items (~1 MB)
[memory_config] Shards: 64 total, 64 in memory (~7 MB)
[memory_config] Estimated total: 2504 MB
[memory_config] ================================

[fold] Found 29 file(s) to process

[fold] Processing file: ./fold_state/input/e_chunk_0001.txt
[fold] Interner version: 1
[fold] Vocabulary size: 496
[fold] Seeding with empty ortho id=2206609067086327257, version=1
[fold] Processed 1000 orthos, queue size: 2853, seen: 3853
[fold] Processed 2000 orthos, queue size: 4720, seen: 6720
[fold] Processed 3000 orthos, queue size: 4028, seen: 7028
[fold] Processed 4000 orthos, queue size: 3282, seen: 7282
[fold] Processed 5000 orthos, queue size: 2550, seen: 7550
[fold] Processed 6000 orthos, queue size: 1644, seen: 7644
[fold] Processed 7000 orthos, queue size: 4405, seen: 11405
[fold] Processed 8000 orthos, queue size: 15893, seen: 23893
[fold] Processed 9000 orthos, queue size: 15266, seen: 24266
[fold] Processed 10000 orthos, queue size: 15127, seen: 25127
[fold] Processed 11000 orthos, queue size: 14753, seen: 25753
[fold] Processed 12000 orthos, queue size: 13985, seen: 25985
[fold] Processed 13000 orthos, queue size: 13313, seen: 26313
[fold] Processed 14000 orthos, queue size: 13008, seen: 27008
[fold] Processed 15000 orthos, queue size: 12682, seen: 27682
[fold] Processed 16000 orthos, queue size: 11738, seen: 27738
[fold] Processed 17000 orthos, queue size: 10866, seen: 27866
[fold] Processed 18000 orthos, queue size: 9922, seen: 27922
[fold] Processed 19000 orthos, queue size: 9014, seen: 28014
[fold] Processed 20000 orthos, queue size: 8126, seen: 28126
[fold] Processed 21000 orthos, queue size: 7260, seen: 28260
[fold] Processed 22000 orthos, queue size: 6411, seen: 28411
[fold] Processed 23000 orthos, queue size: 5711, seen: 28711
[fold] Processed 24000 orthos, queue size: 7404, seen: 31404
[fold] Processed 25000 orthos, queue size: 8018, seen: 33018
[fold] Processed 26000 orthos, queue size: 11728, seen: 37728
[fold] Processed 27000 orthos, queue size: 18611, seen: 45611
[fold] Processed 28000 orthos, queue size: 23361, seen: 51361
[fold] Processed 29000 orthos, queue size: 27899, seen: 56899
[fold] Processed 30000 orthos, queue size: 31528, seen: 61528
[fold] Processed 31000 orthos, queue size: 30528, seen: 61528
[fold] Processed 32000 orthos, queue size: 30299, seen: 62299
[fold] Processed 33000 orthos, queue size: 30283, seen: 63283
[fold] Processed 34000 orthos, queue size: 29881, seen: 63881
[fold] Processed 35000 orthos, queue size: 28895, seen: 63895
[fold] Processed 36000 orthos, queue size: 28231, seen: 64231
[fold] Processed 37000 orthos, queue size: 27281, seen: 64281
[fold] Processed 38000 orthos, queue size: 26990, seen: 64990
[fold] Processed 39000 orthos, queue size: 26180, seen: 65180
[fold] Processed 40000 orthos, queue size: 25218, seen: 65218
[fold] Processed 41000 orthos, queue size: 24248, seen: 65248
[fold] Processed 42000 orthos, queue size: 23543, seen: 65543
[fold] Processed 43000 orthos, queue size: 22655, seen: 65655
[fold] Processed 44000 orthos, queue size: 22075, seen: 66075
[fold] Processed 45000 orthos, queue size: 21115, seen: 66115
[fold] Processed 46000 orthos, queue size: 20131, seen: 66131
[fold] Processed 47000 orthos, queue size: 19183, seen: 66183
[fold] Processed 48000 orthos, queue size: 18199, seen: 66199
[fold] Processed 49000 orthos, queue size: 17357, seen: 66357
[fold] Processed 50000 orthos, queue size: 16521, seen: 66521
[fold] Processed 51000 orthos, queue size: 15533, seen: 66533
[fold] Processed 52000 orthos, queue size: 14893, seen: 66893
[fold] Processed 53000 orthos, queue size: 13893, seen: 66893
[fold] Processed 54000 orthos, queue size: 12937, seen: 66937
[fold] Processed 55000 orthos, queue size: 12019, seen: 67019
[fold] Processed 56000 orthos, queue size: 11237, seen: 67237
[fold] Processed 57000 orthos, queue size: 10659, seen: 67659
[fold] Processed 58000 orthos, queue size: 10299, seen: 68299
[fold] Processed 59000 orthos, queue size: 9638, seen: 68638
[fold] Processed 60000 orthos, queue size: 8638, seen: 68638
[fold] Processed 61000 orthos, queue size: 7678, seen: 68678
[fold] Processed 62000 orthos, queue size: 12987, seen: 74987
[fold] Processed 63000 orthos, queue size: 25803, seen: 88803
[fold] Processed 64000 orthos, queue size: 36906, seen: 100906
[fold] Processed 65000 orthos, queue size: 45796, seen: 110796
[fold] Processed 66000 orthos, queue size: 52201, seen: 118201
[fold] Processed 67000 orthos, queue size: 57955, seen: 124955
[fold] Processed 68000 orthos, queue size: 65087, seen: 133087
[fold] Processed 69000 orthos, queue size: 66418, seen: 135418
[fold] Processed 70000 orthos, queue size: 66148, seen: 136148
[fold] Processed 71000 orthos, queue size: 65753, seen: 136753
[fold] Processed 72000 orthos, queue size: 65376, seen: 137376
[fold] Processed 73000 orthos, queue size: 65130, seen: 138130
[fold] Processed 74000 orthos, queue size: 64711, seen: 138711
[fold] Processed 75000 orthos, queue size: 64421, seen: 139421
[fold] Processed 76000 orthos, queue size: 64325, seen: 140325
[fold] Processed 77000 orthos, queue size: 63942, seen: 140942
[fold] Processed 78000 orthos, queue size: 63556, seen: 141556
[fold] Processed 79000 orthos, queue size: 63256, seen: 142256
[fold] Processed 80000 orthos, queue size: 63054, seen: 143054
[fold] Processed 81000 orthos, queue size: 62689, seen: 143689
[fold] Processed 82000 orthos, queue size: 62414, seen: 144414
[fold] Processed 83000 orthos, queue size: 62065, seen: 145065
[fold] Processed 84000 orthos, queue size: 61991, seen: 145991
[fold] Processed 85000 orthos, queue size: 61887, seen: 146887
[fold] Processed 86000 orthos, queue size: 61915, seen: 147915
